,,,,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_PR,AUC_PR,AUC_PR,AUC_PR,AUC_PR,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1,F1,F1,F1,F1,runtime_train,runtime_train,runtime_train,runtime_train,runtime_train,runtime_inference,runtime_inference,runtime_inference,runtime_inference,runtime_inference
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
dataset_name,model_type,fusion_strategy,threshold_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICIDS,LUNAR,none,operational,0.8621725967350423,0.009523944234182506,0.8519494256624425,0.8707942525970034,3,0.7212134452579294,0.012127578490413793,0.7094516484658757,0.7336763845386648,3,0.4307542860946148,0.015768452098589215,0.41371056536933315,0.44482391803370475,3,0.8973111799076333,0.014660561032326885,0.8858783520098121,0.9138396188508122,3,0.5819379992466879,0.01454850582372002,0.5652984464431725,0.5922585214036787,3,182.8052343527476,82.37248108620845,111.03835415840149,272.7475481033325,3,10.698538303375244,0.8254971844570741,10.085657119750977,11.637219429016113,3
CICIDS,LUNAR,none,recall_oriented,0.8621725967350423,0.009523944234182506,0.8519494256624425,0.8707942525970034,3,0.7212134452579294,0.012127578490413793,0.7094516484658757,0.7336763845386648,3,0.4235533698753671,0.027791993087873265,0.3921078167115903,0.44482391803370475,3,0.9127974487492603,0.026413436164302913,0.8858783520098121,0.9386743753871567,3,0.5778887551326382,0.021516993031984493,0.5531507141010236,0.5922585214036787,3,182.8052343527476,82.37248108620845,111.03835415840149,272.7475481033325,3,10.698538303375244,0.8254971844570741,10.085657119750977,11.637219429016113,3
CICIDS,LUNAR,none,standard,0.8621725967350423,0.009523944234182506,0.8519494256624425,0.8707942525970034,3,0.7212134452579294,0.012127578490413793,0.7094516484658757,0.7336763845386648,3,0.6313242222687081,0.04802687284902707,0.5820284472206981,0.6779726879094038,3,0.7060310008938361,0.005449693580274929,0.7010504563457896,0.7118521577534586,3,0.6658109743629702,0.024499545513991278,0.6404272611169163,0.6893184704388317,3,182.8052343527476,82.37248108620845,111.03835415840149,272.7475481033325,3,10.698538303375244,0.8254971844570741,10.085657119750977,11.637219429016113,3
CICIDS,LUNAR_Epochs_v2,none,operational,0.8591565974377972,0.00972947096483515,0.8356411242981632,0.8709820063961591,24,0.70860485791981,0.022650048608602463,0.6575000143503693,0.7345338552956833,24,0.4321652994152711,0.023495819236832558,0.35786183856018966,0.4624547907457374,24,0.903161904276844,0.01036187265403863,0.8922155688622755,0.9256285889502146,24,0.5841917943958863,0.021847384827289748,0.5161661381583038,0.6105542396968261,24,316.3406006991863,203.9585739363443,59.74346399307251,726.5494656562805,24,10.506436993678411,0.688987668330357,9.718246698379517,11.41188645362854,24
CICIDS,LUNAR_Epochs_v2,none,recall_oriented,0.8591565974377972,0.00972947096483515,0.8356411242981632,0.8709820063961591,24,0.70860485791981,0.022650048608602463,0.6575000143503693,0.7345338552956833,24,0.4316137449257584,0.031846500665686985,0.39176323611769265,0.5243828101188662,24,0.9141962937579221,0.033522857692446895,0.7673524000669009,0.9388808589717117,24,0.5849508756555285,0.022786772130874725,0.5528435514757287,0.6230168609256534,24,316.3406006991863,203.9585739363443,59.74346399307251,726.5494656562805,24,10.506436993678411,0.688987668330357,9.718246698379517,11.41188645362854,24
CICIDS,LUNAR_Epochs_v2,none,standard,0.8591565974377972,0.00972947096483515,0.8356411242981632,0.8709820063961591,24,0.70860485791981,0.022650048608602463,0.6575000143503693,0.7345338552956833,24,0.6184023594057222,0.04711599422324792,0.5507091135010069,0.6779726879094038,24,0.7030312832302575,0.0132106276471915,0.6647153927635614,0.7166012801982242,24,0.6568284933029248,0.0244627855974118,0.6227832154278515,0.6893905191873589,24,316.3406006991863,203.9585739363443,59.74346399307251,726.5494656562805,24,10.506436993678411,0.688987668330357,9.718246698379517,11.41188645362854,24
CICIDS,LUNAR_Fusion_v2,max,operational,0.850827501464147,0.008108188074438707,0.8414649778087172,0.8555175354984509,3,0.4908045593628128,0.07408039017541404,0.44692849068801643,0.5763356134175903,3,0.20752145758222937,0.07852636481527589,0.15068284122987716,0.29712424996341286,3,0.9065940710910554,0.0009083496063901457,0.9055530776092774,0.9072256913470116,3,0.3329774068612496,0.10062676074349453,0.2584317445778403,0.4474380165289256,3,137.12357393900552,39.34669647288571,112.66804504394531,182.51167392730713,3,11.247493584950766,0.8153705022187208,10.340344667434692,11.919333219528198,3
CICIDS,LUNAR_Fusion_v2,max,recall_oriented,0.850827501464147,0.008108188074438707,0.8414649778087172,0.8555175354984509,3,0.4908045593628128,0.07408039017541404,0.44692849068801643,0.5763356134175903,3,0.19731860891406425,0.08873105990900326,0.12286939835195847,0.295503752886836,3,0.9433147769011936,0.04893091190724963,0.913135593220339,0.9997703788748565,3,0.3190881705230008,0.11624119775268908,0.21884345706315497,0.4465103598691385,3,137.12357393900552,39.34669647288571,112.66804504394531,182.51167392730713,3,11.247493584950766,0.8153705022187208,10.340344667434692,11.919333219528198,3
CICIDS,LUNAR_Fusion_v2,max,standard,0.850827501464147,0.008108188074438707,0.8414649778087172,0.8555175354984509,3,0.4908045593628128,0.07408039017541404,0.44692849068801643,0.5763356134175903,3,0.3617968281756529,0.1169588182751543,0.2361252731245448,0.46746203904555317,3,0.6466200955013582,0.13145198400028957,0.49483352468427094,0.7230151650312221,3,0.4454092368216582,0.07800308160088953,0.3559898978807511,0.499479307285841,3,137.12357393900552,39.34669647288571,112.66804504394531,182.51167392730713,3,11.247493584950766,0.8153705022187208,10.340344667434692,11.919333219528198,3
CICIDS,LUNAR_Fusion_v2,rank_mean,operational,0.7946952390983096,0.007990726813214482,0.7854959699633767,0.8031371731163032,5,0.48101843286073986,0.10557245377733718,0.37567419891739656,0.6359798463527453,5,0.20355422453415112,0.09523199825821117,0.1194464316550312,0.3524538160104497,5,0.9812034180124785,0.02989922761958962,0.9313113291703836,1.0,5,0.3292207298790787,0.12571972933081788,0.21339797267518731,0.5177489652147693,5,212.2152699947357,91.67789066903624,111.7004611492157,279.46065306663513,5,11.19350299835205,1.222394561185143,9.822978496551514,12.5692720413208,5
